,assessment,soil,bedrock,sand,big rock,mean,dataset,epoch
1,Accuracy,0.7627810835838318,0.70683354139328,0.6672255396842957,0.46426117420196533,0.6502753496170044,train,1
1,Recall,0.7627810835838318,0.70683354139328,0.6672255396842957,0.46426117420196533,0.6502753496170044,train,1
1,IoU,0.6109497547149658,0.5608507990837097,0.44928187131881714,0.38254502415657043,0.5009068846702576,train,1
2,Accuracy,0.8550819754600525,0.6759434938430786,0.5985749959945679,0.4476465880870819,0.644311785697937,train,2
2,Recall,0.8550819754600525,0.6759434938430786,0.5985749959945679,0.4476465880870819,0.644311785697937,train,2
2,IoU,0.6245176792144775,0.5774392485618591,0.4596903622150421,0.38101810216903687,0.5106663703918457,train,2
3,Accuracy,0.8250541687011719,0.6909306645393372,0.6133131980895996,0.503641664981842,0.6582349538803101,train,3
3,Recall,0.8250541687011719,0.6909306645393372,0.6133131980895996,0.503641664981842,0.6582349538803101,train,3
3,IoU,0.6147223114967346,0.582511305809021,0.4636421501636505,0.4029521942138672,0.5159569978713989,train,3
4,Accuracy,0.7894243597984314,0.7271084189414978,0.6397455334663391,0.5244080424308777,0.6701716184616089,train,4
4,Recall,0.7894243597984314,0.7271084189414978,0.6397455334663391,0.5244080424308777,0.6701716184616089,train,4
4,IoU,0.6040936708450317,0.609898030757904,0.4637385606765747,0.4127652049064636,0.5226238965988159,train,4
5,Accuracy,0.8581042289733887,0.661410391330719,0.6139569878578186,0.5033080577850342,0.6591948866844177,train,5
5,Recall,0.8581042289733887,0.661410391330719,0.6139569878578186,0.5033080577850342,0.6591948866844177,train,5
5,IoU,0.6224244236946106,0.5821008086204529,0.46025049686431885,0.40270471572875977,0.5168701410293579,train,5
6,Accuracy,0.8337709307670593,0.7292097806930542,0.6189804077148438,0.5019344091415405,0.6709738969802856,train,6
6,Recall,0.8337709307670593,0.7292097806930542,0.6189804077148438,0.5019344091415405,0.6709738969802856,train,6
6,IoU,0.632646381855011,0.6147199273109436,0.4770350158214569,0.42616525292396545,0.5376416444778442,train,6
7,Accuracy,0.8491914868354797,0.7310463190078735,0.6452717781066895,0.5307958722114563,0.6890763640403748,train,7
7,Recall,0.8491914868354797,0.7310463190078735,0.6452717781066895,0.5307958722114563,0.6890763640403748,train,7
7,IoU,0.6540830731391907,0.6262589693069458,0.5034887790679932,0.4283313751220703,0.5530405044555664,train,7
8,Accuracy,0.8455638885498047,0.7244009971618652,0.6657223701477051,0.514121949672699,0.6874523162841797,train,8
8,Recall,0.8455638885498047,0.7244009971618652,0.6657223701477051,0.514121949672699,0.6874523162841797,train,8
8,IoU,0.6480562090873718,0.6236477494239807,0.5072032809257507,0.42016059160232544,0.5497669577598572,train,8
9,Accuracy,0.8325223922729492,0.7621914744377136,0.6305475234985352,0.47589534521102905,0.6752891540527344,train,9
9,Recall,0.8325223922729492,0.7621914744377136,0.6305475234985352,0.47589534521102905,0.6752891540527344,train,9
9,IoU,0.6434581279754639,0.6402515769004822,0.48466044664382935,0.4100189208984375,0.5445972681045532,train,9
10,Accuracy,0.8670969605445862,0.7082897424697876,0.6463068723678589,0.46802446246147156,0.6724295616149902,train,10
10,Recall,0.8670969605445862,0.7082897424697876,0.6463068723678589,0.46802446246147156,0.6724295616149902,train,10
10,IoU,0.6451131701469421,0.6214843988418579,0.4948578178882599,0.41098564863204956,0.5431102514266968,train,10
11,Accuracy,0.8482834696769714,0.7501868605613708,0.6234135031700134,0.48607826232910156,0.6769905090332031,train,11
11,Recall,0.8482834696769714,0.7501868605613708,0.6234135031700134,0.48607826232910156,0.6769905090332031,train,11
