,assessment,soil,bedrock,sand,big rock,mean,dataset,epoch
1,Accuracy,0.810130774974823,0.7418924570083618,0.6306285858154297,0.5569314956665039,0.6848958730697632,train,1
1,Recall,0.810130774974823,0.7418924570083618,0.6306285858154297,0.5569314956665039,0.6848958730697632,train,1
1,IoU,0.6195445656776428,0.6239901781082153,0.49705517292022705,0.4094685912132263,0.5375146269798279,train,1
2,Accuracy,0.8494486808776855,0.7807721495628357,0.5954505205154419,0.5515505075454712,0.694305419921875,train,2
2,Recall,0.8494486808776855,0.7807721495628357,0.5954505205154419,0.5515505075454712,0.694305419921875,train,2
2,IoU,0.6503527164459229,0.6606760025024414,0.5101744532585144,0.4360197186470032,0.5643057227134705,train,2
3,Accuracy,0.8809821605682373,0.7547857165336609,0.6383789777755737,0.5089670419692993,0.695778489112854,train,3
3,Recall,0.8809821605682373,0.7547857165336609,0.6383789777755737,0.5089670419692993,0.695778489112854,train,3
3,IoU,0.6719035506248474,0.6532372236251831,0.5411375761032104,0.4320495128631592,0.5745819807052612,train,3
4,Accuracy,0.8669337630271912,0.7511453628540039,0.6285778880119324,0.5884291529655457,0.7087715864181519,train,4
4,Recall,0.8669337630271912,0.7511453628540039,0.6285778880119324,0.5884291529655457,0.7087715864181519,train,4
4,IoU,0.6716455221176147,0.6535888314247131,0.5136655569076538,0.4522687494754791,0.5727921724319458,train,4
5,Accuracy,0.8785820603370667,0.7312687039375305,0.669187605381012,0.5037248134613037,0.6956907510757446,train,5
5,Recall,0.8785820603370667,0.7312687039375305,0.669187605381012,0.5037248134613037,0.6956907510757446,train,5
5,IoU,0.6707567572593689,0.6345775127410889,0.554844081401825,0.41886094212532043,0.5697598457336426,train,5
6,Accuracy,0.8856043815612793,0.7464399337768555,0.5885377526283264,0.5561327934265137,0.6941787004470825,train,6
6,Recall,0.8856043815612793,0.7464399337768555,0.5885377526283264,0.5561327934265137,0.6941787004470825,train,6
6,IoU,0.6663628816604614,0.654444694519043,0.509993851184845,0.44911253452301025,0.5699784755706787,train,6
7,Accuracy,0.8672127723693848,0.7718777060508728,0.6957468390464783,0.541780412197113,0.7191544771194458,train,7
7,Recall,0.8672127723693848,0.7718777060508728,0.6957468390464783,0.541780412197113,0.7191544771194458,train,7
7,IoU,0.6857167482376099,0.6612873673439026,0.5785032510757446,0.4569581151008606,0.595616340637207,train,7
8,Accuracy,0.8872564435005188,0.746446430683136,0.5915372967720032,0.5167593955993652,0.685499906539917,train,8
8,Recall,0.8872564435005188,0.746446430683136,0.5915372967720032,0.5167593955993652,0.685499906539917,train,8
8,IoU,0.6572030186653137,0.6469621658325195,0.5189870595932007,0.4303869605064392,0.5633848309516907,train,8
