,assessment,soil,bedrock,sand,big rock,mean,dataset,epoch
1,Accuracy,0.34752723574638367,0.6477401852607727,0.5015994310379028,0.6705002188682556,0.5418417453765869,train,31
1,Recall,0.34752723574638367,0.6477401852607727,0.5015994310379028,0.6705002188682556,0.5418417453765869,train,31
1,IoU,0.3116130530834198,0.4161965847015381,0.27081412076950073,0.2283196747303009,0.3067358434200287,train,31
2,Accuracy,0.5605562329292297,0.588517963886261,0.5438966751098633,0.6417195796966553,0.5836725831031799,train,32
2,Recall,0.5605562329292297,0.588517963886261,0.5438966751098633,0.6417195796966553,0.5836725831031799,train,32
2,IoU,0.454013466835022,0.4472481608390808,0.2966958284378052,0.2711135149002075,0.3672677278518677,train,32
3,Accuracy,0.5731419324874878,0.6567702889442444,0.5675157904624939,0.6092569231987,0.6016712188720703,train,33
3,Recall,0.5731419324874878,0.6567702889442444,0.5675157904624939,0.6092569231987,0.6016712188720703,train,33
3,IoU,0.4815109968185425,0.4805586636066437,0.31254294514656067,0.3174017369747162,0.39800357818603516,train,33
4,Accuracy,0.565744161605835,0.647452712059021,0.47498711943626404,0.5560961365699768,0.5610700845718384,train,34
4,Recall,0.565744161605835,0.647452712059021,0.47498711943626404,0.5560961365699768,0.5610700845718384,train,34
4,IoU,0.4513157308101654,0.4591602683067322,0.29759207367897034,0.2800219655036926,0.37202250957489014,train,34
5,Accuracy,0.5743556618690491,0.6671640872955322,0.5962919592857361,0.5669269561767578,0.6011846661567688,train,35
5,Recall,0.5743556618690491,0.6671640872955322,0.5962919592857361,0.5669269561767578,0.6011846661567688,train,35
5,IoU,0.48549795150756836,0.5070542097091675,0.29964083433151245,0.3246820867061615,0.40421879291534424,train,35
6,Accuracy,0.6457257866859436,0.6686800122261047,0.599303662776947,0.502575695514679,0.6040712594985962,train,36
6,Recall,0.6457257866859436,0.6686800122261047,0.599303662776947,0.502575695514679,0.6040712594985962,train,36
6,IoU,0.5227547287940979,0.5158786773681641,0.3474729359149933,0.31006449460983276,0.4240427017211914,train,36
7,Accuracy,0.6327832341194153,0.5956946611404419,0.6853453516960144,0.44944682717323303,0.5908175110816956,train,37
7,Recall,0.6327832341194153,0.5956946611404419,0.6853453516960144,0.44944682717323303,0.5908175110816956,train,37
7,IoU,0.51955646276474,0.4712347984313965,0.34569254517555237,0.3174811005592346,0.41349124908447266,train,37
8,Accuracy,0.6582169532775879,0.7232661843299866,0.5639428496360779,0.5373863577842712,0.6207031011581421,train,38
8,Recall,0.6582169532775879,0.7232661843299866,0.5639428496360779,0.5373863577842712,0.6207031011581421,train,38
8,IoU,0.5457057356834412,0.5408881902694702,0.36258816719055176,0.3227389454841614,0.44298025965690613,train,38
9,Accuracy,0.6567111611366272,0.6924217939376831,0.6436248421669006,0.43845924735069275,0.6078042984008789,train,39
9,Recall,0.6567111611366272,0.6924217939376831,0.6436248421669006,0.43845924735069275,0.6078042984008789,train,39
9,IoU,0.5452908277511597,0.5358558893203735,0.3493073284626007,0.3363511860370636,0.4417012929916382,train,39
10,Accuracy,0.6219753623008728,0.709783136844635,0.7078776359558105,0.43302279710769653,0.6181647777557373,train,40
10,Recall,0.6219753623008728,0.709783136844635,0.7078776359558105,0.43302279710769653,0.6181647777557373,train,40
10,IoU,0.5327985286712646,0.5429656505584717,0.37782710790634155,0.327840656042099,0.4453579783439636,train,40
11,Accuracy,0.6959488391876221,0.6822367906570435,0.6683387160301208,0.32962948083877563,0.5940384864807129,train,41
11,Recall,0.6959488391876221,0.6822367906570435,0.6683387160301208,0.32962948083877563,0.5940384864807129,train,41
