,assessment,soil,bedrock,sand,big rock,mean,dataset,epoch
1,Accuracy,0.7864633202552795,0.8453167676925659,0.778123676776886,0.9254958629608154,0.8338499069213867,train,1
1,Recall,0.7864633202552795,0.8453167676925659,0.778123676776886,0.9254958629608154,0.8338499069213867,train,1
1,IoU,0.7580555081367493,0.7263574004173279,0.631115198135376,0.39849400520324707,0.628505527973175,train,1
2,Accuracy,0.8392096161842346,0.8523054718971252,0.8001888394355774,0.9317787289619446,0.8558706641197205,train,2
2,Recall,0.8392096161842346,0.8523054718971252,0.8001888394355774,0.9317787289619446,0.8558706641197205,train,2
2,IoU,0.7938436269760132,0.7631699442863464,0.675588846206665,0.44736820459365845,0.6699926853179932,train,2
3,Accuracy,0.8213147521018982,0.887357234954834,0.8252742886543274,0.934566855430603,0.8671282529830933,train,3
3,Recall,0.8213147521018982,0.887357234954834,0.8252742886543274,0.934566855430603,0.8671282529830933,train,3
3,IoU,0.7917556762695312,0.7727430462837219,0.7118415236473083,0.4762379825115204,0.6881445646286011,train,3
4,Accuracy,0.8254353404045105,0.8806507587432861,0.8247328400611877,0.945941686630249,0.8691901564598083,train,4
4,Recall,0.8254353404045105,0.8806507587432861,0.8247328400611877,0.945941686630249,0.8691901564598083,train,4
4,IoU,0.792950451374054,0.7804688811302185,0.6808111071586609,0.49563321471214294,0.6874659061431885,train,4
5,Accuracy,0.8485262989997864,0.8513679504394531,0.8515968918800354,0.9538094401359558,0.8763251304626465,train,5
5,Recall,0.8485262989997864,0.8513679504394531,0.8515968918800354,0.9538094401359558,0.8763251304626465,train,5
5,IoU,0.8141414523124695,0.7731266021728516,0.7033346891403198,0.457959920167923,0.6871406435966492,train,5
6,Accuracy,0.8382347226142883,0.9046581387519836,0.861069917678833,0.927709698677063,0.882918119430542,train,6
6,Recall,0.8382347226142883,0.9046581387519836,0.861069917678833,0.927709698677063,0.882918119430542,train,6
6,IoU,0.8127681016921997,0.7994240522384644,0.7320603132247925,0.5495041012763977,0.7234391570091248,train,6
7,Accuracy,0.8292378783226013,0.8977610468864441,0.8704357743263245,0.9350883960723877,0.8831307888031006,train,7
7,Recall,0.8292378783226013,0.8977610468864441,0.8704357743263245,0.9350883960723877,0.8831307888031006,train,7
7,IoU,0.8087376952171326,0.7988595962524414,0.708077073097229,0.5223560333251953,0.7095075845718384,train,7
8,Accuracy,0.8415490984916687,0.8984215259552002,0.8580437302589417,0.9668528437614441,0.8912168145179749,train,8
8,Recall,0.8415490984916687,0.8984215259552002,0.8580437302589417,0.9668528437614441,0.8912168145179749,train,8
8,IoU,0.8194921016693115,0.805921196937561,0.7291885614395142,0.5409876108169556,0.7238973379135132,train,8
9,Accuracy,0.8493445515632629,0.9029318690299988,0.8437585830688477,0.9620817303657532,0.8895291686058044,train,9
9,Recall,0.8493445515632629,0.9029318690299988,0.8437585830688477,0.9620817303657532,0.8895291686058044,train,9
9,IoU,0.8269821405410767,0.8152819275856018,0.7122623920440674,0.5143821239471436,0.7172271013259888,train,9
10,Accuracy,0.8571798801422119,0.9010917544364929,0.8631423711776733,0.9558026194572449,0.8943041563034058,train,10
10,Recall,0.8571798801422119,0.9010917544364929,0.8631423711776733,0.9558026194572449,0.8943041563034058,train,10
10,IoU,0.8336695432662964,0.8099328875541687,0.7414472699165344,0.5347192883491516,0.729942262172699,train,10
11,Accuracy,0.8481046557426453,0.8918642997741699,0.8904761672019958,0.9678802490234375,0.8995813131332397,train,11
11,Recall,0.8481046557426453,0.8918642997741699,0.8904761672019958,0.9678802490234375,0.8995813131332397,train,11
11,IoU,0.827944278717041,0.7994853258132935,0.7644949555397034,0.5465208888053894,0.7346113324165344,train,11
12,Accuracy,0.8784419298171997,0.9002756476402283,0.8559228181838989,0.9617879390716553,0.8991070985794067,train,12
12,Recall,0.8784419298171997,0.9002756476402283,0.8559228181838989,0.9617879390716553,0.8991070985794067,train,12
12,IoU,0.8474767804145813,0.8211878538131714,0.7513913512229919,0.5566309690475464,0.7441717386245728,train,12
13,Accuracy,0.8862021565437317,0.8773979544639587,0.883040189743042,0.9714218378067017,0.9045155048370361,train,13
13,Recall,0.8862021565437317,0.8773979544639587,0.883040189743042,0.9714218378067017,0.9045155048370361,train,13
13,IoU,0.859714150428772,0.8121678233146667,0.7806206941604614,0.489406019449234,0.7354772090911865,train,13
14,Accuracy,0.8508020639419556,0.9086365699768066,0.9095087647438049,0.9690320491790771,0.9094948768615723,train,14
14,Recall,0.8508020639419556,0.9086365699768066,0.9095087647438049,0.9690320491790771,0.9094948768615723,train,14
14,IoU,0.8313924074172974,0.8326349854469299,0.7646468281745911,0.6189296841621399,0.7619010210037231,train,14
15,Accuracy,0.8772653937339783,0.9066240191459656,0.8791990876197815,0.9666294455528259,0.9074294567108154,train,15
15,Recall,0.8772653937339783,0.9066240191459656,0.8791990876197815,0.9666294455528259,0.9074294567108154,train,15
15,IoU,0.8559485077857971,0.8293268084526062,0.7747347950935364,0.5366645455360413,0.7491686344146729,train,15
16,Accuracy,0.8913325667381287,0.8973153233528137,0.8751161098480225,0.9721575379371643,0.9089803695678711,train,16
16,Recall,0.8913325667381287,0.8973153233528137,0.8751161098480225,0.9721575379371643,0.9089803695678711,train,16
16,IoU,0.8627975583076477,0.8283789753913879,0.7883265018463135,0.5586654543876648,0.7595421075820923,train,16
17,Accuracy,0.8699167966842651,0.9262736439704895,0.8707246780395508,0.9602289199829102,0.9067859649658203,train,17
17,Recall,0.8699167966842651,0.9262736439704895,0.8707246780395508,0.9602289199829102,0.9067859649658203,train,17
17,IoU,0.8489838242530823,0.8306710124015808,0.7905440926551819,0.609766960144043,0.7699915170669556,train,17
18,Accuracy,0.8685831427574158,0.9229840040206909,0.8627047538757324,0.9641463756561279,0.9046045541763306,train,18
18,Recall,0.8685831427574158,0.9229840040206909,0.8627047538757324,0.9641463756561279,0.9046045541763306,train,18
18,IoU,0.8477976322174072,0.835387110710144,0.7680241465568542,0.5854089260101318,0.7591544389724731,train,18
19,Accuracy,0.9060529470443726,0.9020553231239319,0.8951383829116821,0.9612091779708862,0.9161139726638794,train,19
19,Recall,0.9060529470443726,0.9020553231239319,0.8951383829116821,0.9612091779708862,0.9161139726638794,train,19
19,IoU,0.8726069331169128,0.8388152718544006,0.7924913763999939,0.6316060423851013,0.7838798761367798,train,19
